image_id,image_path,scorer_a_bcs,scorer_b_bcs,ground_truth,weight_class,is_duplicate,duplicate_of,scorer_c_bcs,scorer_d_bcs,scorer_e_bcs,scorer_f_bcs,scorer_g_bcs,scorer_h_bcs,scorer_i_bcs
29,images/cat_29.jpeg,6.0,6.0,6.0,OW,False,,7.0,6.0,4.0,5.0,5.0,4.5,6.0
30,images/cat_30.jpeg,5.0,4.0,4.5,IW,False,,5.0,4.0,3.5,4.0,5.0,4.0,4.0
31,images/cat_31.jpeg,5.0,4.0,4.5,IW,False,,5.0,4.5,3.0,4.0,5.0,4.0,5.5
32,images/cat_32.jpeg,4.0,3.0,3.5,IW,False,,4.5,4.0,3.0,4.0,3.0,3.0,4.0
33,images/cat_33.jpeg,8.5,9.0,8.75,OB,False,,9.0,9.0,7.5,9.0,9.0,9.0,8.5
34,images/cat_34.jpeg,8.0,6.0,7.0,OW,False,,8.0,7.0,7.0,9.0,8.0,7.5,7.0
35,images/cat_35.jpeg,7.0,6.0,6.5,OW,False,,7.0,7.0,6.5,8.0,6.5,7.5,6.5
36,images/cat_36.jpeg,9.0,9.0,9.0,OB,False,,9.0,9.0,9.0,9.0,9.0,9.0,9.0
37,images/cat_37.jpeg,9.0,9.0,9.0,OB,False,,9.0,9.0,9.0,9.0,9.0,9.0,9.0
38,images/cat_38.jpeg,9.0,7.5,8.25,OB,False,,7.0,6.5,7.0,9.0,9.0,8.0,7.5
39,images/cat_39.jpeg,6.5,8.0,7.25,OB,False,,6.0,7.0,6.5,7.5,7.0,7.0,7.0
40,images/cat_40.jpeg,8.0,7.5,7.75,OB,False,,8.0,6.5,8.0,9.0,8.0,7.5,8.0
41,images/cat_41.jpeg,7.0,5.5,6.25,OW,False,,6.0,6.0,5.0,6.5,6.0,6.0,5.0
42,images/cat_42.jpeg,8.0,6.5,7.25,OB,True,49,7.0,5.5,6.0,7.5,7.0,5.5,6.5
43,images/cat_43.jpeg,4.0,4.0,4.0,IW,False,,5.0,5.0,3.0,4.0,3.0,4.0,4.0
44,images/cat_44.jpeg,9.0,9.0,9.0,OB,False,,9.0,9.0,8.0,9.0,9.0,9.0,9.0
45,images/cat_45.jpeg,6.0,4.0,5.0,IW,False,,7.0,5.0,5.0,5.0,5.5,6.0,5.0
46,images/cat_46.jpeg,8.0,7.0,7.5,OB,False,,8.0,7.0,7.0,7.0,8.0,7.0,8.0
47,images/cat_47.jpeg,4.0,4.0,4.0,IW,True,5,5.0,4.5,4.5,5.0,5.0,5.0,4.5
48,images/cat_48.jpeg,4.0,3.0,3.5,IW,True,25,5.0,3.5,3.0,5.0,4.5,4.0,5.0
49,images/cat_49.jpeg,8.0,8.0,8.0,OB,True,42,7.0,5.5,5.5,7.5,7.0,6.0,6.5
50,images/cat_50.jpeg,5.0,5.0,5.0,IW,True,2,7.0,7.0,4.5,5.5,6.0,5.0,7.0
