id,source,run,mean_deviation,bcs01,bcs02,bcs03,bcs04,bcs05,bcs06,bcs07,bcs08,bcs09,bcs10,bcs11,bcs12,bcs13,bcs14,bcs15,bcs16,bcs17,bcs18,bcs19,bcs20,bcs21,bcs22,bcs23,bcs24,bcs25,bcs26,bcs27,bcs28,bcs29,bcs30,bcs31,bcs32,bcs33,bcs34,bcs35,bcs36,bcs37,bcs38,bcs39,bcs40,bcs41,bcs42,bcs43,bcs44,bcs45,bcs46,bcs47,bcs48,bcs49
20260318_152843,scorer_g,1,0.4694,5.0,6.0,8.0,7.0,4.0,5.0,4.0,2.5,6.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,5.0,3.0,5.0,5.5,7.0,1.0,6.0,8.0,5.0,5.0,6.0,4.5,5.0,5.0,5.0,3.0,9.0,8.0,6.5,9.0,9.0,7.0,8.0,6.0,7.0,3.0,9.0,5.5,8.0,5.0,4.5,7.0,6.0
20260318_152843,scorer_h,1,0.3980,4.5,5.0,9.0,7.0,4.0,5.0,5.0,2.0,6.0,6.5,9.0,8.0,9.0,9.0,9.0,9.0,4.0,3.0,3.5,4.5,6.5,1.0,7.0,7.0,4.0,6.0,5.0,3.5,4.5,4.0,4.0,3.0,9.0,7.5,7.5,9.0,8.0,7.0,7.5,6.0,5.5,4.0,9.0,6.0,7.0,5.0,4.0,6.0,5.0
20260318_152843,scorer_i,1,0.4388,5.0,7.0,8.0,6.5,5.0,4.5,5.0,2.0,5.0,7.0,9.0,8.0,9.0,9.0,9.0,9.0,4.5,3.0,6.0,6.0,7.0,1.5,7.5,7.0,5.0,6.0,5.0,4.5,6.0,4.0,5.5,4.0,8.5,7.0,6.5,9.0,7.5,7.0,8.0,5.0,6.5,4.0,9.0,5.0,8.0,4.5,5.0,6.5,7.0
20260327_163537,Qwen/Qwen3-VL-4B-Instruct,1,1.1633,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,6.0,7.0,8.0,9.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,5.0,5.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,5.0,6.0,5.0,5.0,6.0,6.0
20260327_163612,Qwen/Qwen3-VL-4B-Instruct,2,1.1633,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,6.0,7.0,8.0,9.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,5.0,5.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,5.0,6.0,5.0,5.0,6.0,6.0
20260327_163646,Qwen/Qwen3-VL-4B-Instruct,3,1.1633,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,6.0,7.0,8.0,9.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,5.0,5.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,5.0,6.0,5.0,5.0,6.0,6.0
20260327_163537_avg,Qwen/Qwen3-VL-4B-Instruct,avg,1.1633,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,6.0,7.0,8.0,9.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,5.0,5.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,5.0,6.0,5.0,5.0,6.0,6.0
20260330_055748,qwen3.5:9b,1,3.9796,1.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,6.0,5.0,1.0,1.0,5.0,1.0,2.0,8.0,1.0,5.0,2.0,1.0,1.0,9.0
20260330_061904,qwen3.5:9b,2,4.0408,1.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,7.0,4.0,2.0,1.0,1.0,1.0,5.0,5.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,9.0
20260330_063848,qwen3.5:9b,3,3.3265,1.0,6.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,7.0,1.0,7.0,8.0,7.0,1.0,4.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,5.0,4.0,1.0,1.0,5.0,2.0,1.0,8.0,1.0,5.0,7.0,1.0,5.0,1.0,1.0,1.0,1.0,7.0,2.0,5.0,2.0,1.0,7.0,9.0
20260330_055748_avg,qwen3.5:9b,avg,3.7823,1.0,2.67,3.0,2.33,1.0,2.33,3.67,1.33,1.0,1.0,5.0,1.0,3.0,3.33,3.0,5.67,3.0,1.67,1.0,1.0,2.33,3.67,2.33,2.33,1.67,2.33,2.0,1.33,1.0,3.67,2.0,1.33,3.33,2.33,2.33,4.67,3.67,2.33,2.33,3.67,1.0,1.33,5.33,1.33,3.67,2.0,1.33,3.0,9.0
20260330_074024,qwen3.5:9b,1,2.8980,5.0,4.0,7.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,7.0,6.0,7.0,7.0,8.0,7.0,1.0,1.0,3.0,5.0,5.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,9.0,1.0,1.0,7.0,5.0,5.0,4.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,8.0
20260330_075943,qwen3.5:9b,2,2.7143,1.0,7.0,7.0,1.0,1.0,3.0,5.0,1.0,1.0,4.0,7.0,1.0,7.0,8.0,1.0,7.0,1.0,2.0,1.0,1.0,1.0,5.0,5.0,5.0,2.0,1.0,5.0,2.0,1.0,5.0,1.0,3.0,7.0,5.0,5.0,7.0,5.0,6.0,1.0,6.0,1.0,1.0,9.0,3.0,4.0,2.0,1.0,7.0,7.0
20260330_081752,qwen3.5:9b,3,2.9796,1.0,7.0,7.0,1.0,9.0,4.0,1.0,1.0,1.0,1.0,7.0,6.0,7.0,1.0,7.0,7.0,4.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,5.0,2.0,1.0,7.0,1.0,5.0,7.0,6.0,5.0,4.0,1.0,1.0,1.0,9.0,1.0,1.0,3.0,3.0,7.0,7.0
20260330_074024_avg,qwen3.5:9b,avg,2.8640,2.33,6.0,7.0,1.0,3.67,2.67,2.33,1.0,2.0,3.33,7.0,4.33,7.0,5.33,5.33,7.0,2.0,1.33,1.67,2.33,2.33,4.67,5.0,3.67,1.33,2.33,2.33,1.33,1.0,5.0,1.33,2.0,7.67,2.33,3.67,7.0,5.33,5.33,3.0,2.67,2.0,1.33,6.33,1.67,2.0,2.0,1.67,7.0,7.33
