id,source,run,mean_deviation,bcs01,bcs02,bcs03,bcs04,bcs05,bcs06,bcs07,bcs08,bcs09,bcs10,bcs11,bcs12,bcs13,bcs14,bcs15,bcs16,bcs17,bcs18,bcs19,bcs20,bcs21,bcs22,bcs23,bcs24,bcs25,bcs26,bcs27,bcs28,bcs29,bcs30,bcs31,bcs32,bcs33,bcs34,bcs35,bcs36,bcs37,bcs38,bcs39,bcs40,bcs41,bcs42,bcs43,bcs44,bcs45,bcs46,bcs47,bcs48,bcs49,bcs50,bcs51,bcs52,bcs53,bcs54,bcs55,bcs56,bcs57,bcs58,bcs59,bcs60,bcs61,bcs62,bcs63,bcs64,bcs65,bcs66,bcs67,bcs68,bcs69,bcs70,bcs71,bcs72,bcs73,bcs74,bcs75,bcs76,bcs77,bcs78,bcs79,bcs80,bcs81,bcs82,bcs83,bcs84,bcs85,bcs86,bcs87,bcs88,bcs89,bcs90
20260313_113702,anthropic/claude-sonnet-4.6,3,2.0889,4.0,4.5,4.5,4.0,4.0,5.0,4.0,4.0,5.0,4.5,4.0,4.0,4.0,4.5,4.5,5.0,4.5,5.0,4.0,5.0,4.0,4.5,5.0,5.0,4.5,5.0,5.0,4.0,4.5,4.0,4.0,5.0,4.0,5.0,4.5,4.5,4.0,4.0,5.0,4.5,5.0,4.5,4.5,4.5,4.0,4.0,4.5,4.0,4.5,4.0,4.5,4.0,5.0,4.5,5.0,4.5,5.0,5.0,4.5,4.0,4.5,5.0,4.5,4.5,4.5,4.5,5.0,5.0,4.5,4.5,5.5,5.5,4.5,5.5,5.5,5.0,4.5,5.5,4.5,5.5,4.5,5.0,5.0,5.0,5.0,6.5,4.5,5.5,6.5,5.0
20260313_111509_avg,anthropic/claude-sonnet-4.6,avg,2.0852,4.0,4.5,4.5,4.0,4.0,5.0,4.0,4.17,5.0,4.5,4.0,4.0,4.0,4.5,4.5,5.0,4.33,5.0,4.17,5.0,4.0,4.5,5.0,5.0,4.5,5.0,5.0,4.0,4.5,4.0,4.0,5.0,4.0,5.0,4.5,4.33,4.0,4.0,5.0,4.5,5.0,4.5,4.5,4.5,4.0,4.0,4.5,4.0,4.5,4.0,4.5,4.0,5.0,4.5,5.0,4.5,5.0,5.0,4.5,4.0,4.5,5.0,4.5,4.5,4.5,4.83,5.0,5.0,4.5,4.5,5.5,5.5,4.5,5.5,5.5,5.0,4.5,5.5,4.5,5.5,4.5,5.0,5.0,5.0,4.67,6.5,4.83,5.5,6.5,5.0
20260313_114754,google/gemini-3.1-pro-preview,1,1.4222,5.0,3.0,2.0,2.0,4.0,5.0,5.0,4.0,4.0,2.0,3.0,4.0,5.0,3.0,5.0,2.0,5.0,4.0,2.0,3.0,2.0,4.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,5.0,7.0,5.0,5.0,5.0,5.0,7.0,5.0,7.0,7.0,6.0,6.0,7.0,5.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,5.0,8.0,5.0,9.0,8.0,5.0
20260313_120947,google/gemini-3.1-pro-preview,2,1.2111,5.0,3.0,2.0,3.0,3.0,5.0,5.0,3.0,4.0,3.0,2.0,4.0,5.0,3.0,4.0,2.0,5.0,3.0,2.0,3.0,3.0,4.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,7.0,5.0,8.0,7.0,7.0,8.0,8.0,5.0,7.0,8.0,7.0,8.0,9.0,8.0,8.0,9.0,5.0,8.0,5.0,8.0,9.0,7.0
20260313_123830,google/gemini-3.1-pro-preview,3,1.2778,5.0,3.0,1.0,3.0,4.0,5.0,5.0,3.0,1.0,3.0,2.0,4.0,1.0,4.0,5.0,1.0,5.0,3.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,1.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,5.0,5.0,5.0,7.0,5.0,8.0,7.0,7.0,8.0,7.0,7.0,6.0,8.0,6.0,8.0,8.0,8.0,8.0,8.0,5.0,8.0,5.0,9.0,9.0,8.0
20260313_114754_avg,google/gemini-3.1-pro-preview,avg,1.3037,5.0,3.0,1.67,2.67,3.67,5.0,5.0,3.33,3.0,2.67,2.33,4.0,3.67,3.33,4.67,1.67,5.0,3.33,3.0,3.33,2.67,4.0,4.67,5.0,4.67,1.0,5.0,5.0,4.0,4.67,4.67,5.0,4.67,5.0,5.0,3.67,4.67,4.33,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.33,5.0,4.67,5.0,3.0,4.67,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.67,5.0,6.67,5.67,5.0,5.0,5.0,7.0,5.0,7.67,7.0,6.67,7.33,7.33,5.67,6.67,7.67,6.67,7.67,8.33,8.0,8.0,8.0,5.0,8.0,5.0,8.67,8.67,6.67
20260313_133041,openai/gpt-4o,1,1.8889,5.0,3.0,4.0,3.0,5.0,5.0,3.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,7.0,7.0,5.0,5.0,5.0,7.0,5.0,7.0,9.0,5.0
20260313_133454,openai/gpt-4o,2,1.9778,5.0,4.0,4.0,5.0,3.0,5.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,5.0,5.0,5.0,7.0,5.0,7.0,9.0,5.0
20260313_133853,openai/gpt-4o,3,1.8889,5.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,5.0,5.0,5.0,7.0,5.0,7.0,9.0,5.0
20260313_133041_avg,openai/gpt-4o,avg,1.9185,5.0,3.67,4.0,3.67,3.67,5.0,3.0,4.33,4.33,3.33,4.0,5.0,5.0,5.0,4.33,3.0,3.67,5.0,3.67,5.0,4.0,4.67,5.0,4.33,5.0,3.0,5.0,5.0,3.33,4.0,5.0,4.33,5.0,3.67,3.33,4.0,4.67,3.67,5.0,3.33,4.33,4.0,3.0,4.67,5.0,5.0,3.33,5.0,4.0,4.0,3.67,5.0,5.0,4.0,4.33,5.0,5.0,5.0,4.67,4.67,4.0,5.0,5.0,4.67,5.0,4.33,5.0,5.0,5.0,4.67,5.0,5.0,5.0,5.67,5.0,5.0,5.0,5.67,5.0,6.33,7.0,7.0,5.0,5.0,5.0,7.0,5.0,7.0,9.0,5.0
20260313_134257,openai/gpt-4.1,1,1.4556,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,2.0,5.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,3.0,5.0,5.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,5.0,7.0,7.0,8.0,5.0,6.0,5.0,8.0,5.0,8.0,8.0,5.0
20260313_134706,openai/gpt-4.1,2,1.4444,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,2.0,5.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,7.0,6.0,7.0,6.0,6.0,7.0,7.0,5.0,7.0,7.0,8.0,7.0,6.0,5.0,8.0,5.0,8.0,8.0,5.0
20260313_135106,openai/gpt-4.1,3,1.4556,3.0,3.0,3.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0,5.0,3.0,4.0,2.0,5.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,7.0,6.0,7.0,6.0,5.0,7.0,7.0,5.0,7.0,7.0,8.0,5.0,6.0,5.0,8.0,5.0,8.0,8.0,5.0
20260313_134257_avg,openai/gpt-4.1,avg,1.4519,3.0,3.0,3.0,2.33,3.0,4.67,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,3.0,4.0,3.67,3.67,5.0,3.0,4.0,2.0,5.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.33,4.67,3.0,4.0,4.67,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.33,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.33,3.0,5.0,5.0,7.0,6.0,7.0,6.33,5.33,7.0,7.0,5.0,7.0,7.0,8.0,5.67,6.0,5.0,8.0,5.0,8.0,8.0,5.0
20260313_135506,anthropic/claude-sonnet-4.5,1,2.0667,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,5.0
20260313_140238,anthropic/claude-sonnet-4.5,2,2.0667,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,5.0
20260313_141012,anthropic/claude-sonnet-4.5,3,2.0667,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,5.0
20260313_135506_avg,anthropic/claude-sonnet-4.5,avg,2.0667,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,5.0
20260313_141742,google/gemini-2.5-pro,1,2.0000,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,5.0,5.0,5.0,8.0,5.0,7.0,8.0,5.0
20260313_142410,google/gemini-2.5-pro,2,2.0000,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,5.0,5.0,5.0,8.0,5.0,7.0,8.0,5.0
20260313_143032,google/gemini-2.5-pro,3,2.0000,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,5.0,5.0,5.0,8.0,5.0,7.0,8.0,5.0
20260313_141742_avg,google/gemini-2.5-pro,avg,2.0000,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,5.0,5.0,5.0,8.0,5.0,7.0,8.0,5.0
20260313_143630,google/gemini-2.5-flash,1,2.0333,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,7.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,7.0,7.0,5.0,7.0,5.0,7.0,8.0,5.0
